City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
324,Hakodate,JP,41.7758,140.7367,61.11,67,75,21.85,broken clouds
325,Salalah,OM,17.0151,54.0924,82.49,65,0,0.0,clear sky
326,Fairbanks,US,64.8378,-147.7164,24.76,89,90,0.0,light snow
327,Medicine Hat,CA,50.0501,-110.6683,33.37,58,1,5.99,clear sky
328,Iwanai,JP,42.9744,140.5089,58.12,71,75,5.48,broken clouds
329,Bathsheba,BB,13.2167,-59.5167,81.21,74,40,13.8,scattered clouds
330,Alta Floresta,BR,-9.8756,-56.0861,70.27,98,98,2.48,overcast clouds
331,Creel,MX,27.75,-107.6333,50.16,59,6,1.95,clear sky
332,Kaele,CM,10.1092,14.4508,78.78,50,95,3.53,overcast clouds
333,Sabang,ID,5.8933,95.3214,80.62,80,91,14.25,overcast clouds
334,Mayumba,GA,-3.432,10.6554,75.94,91,100,6.31,moderate rain
335,Chateaubelair,VC,13.2833,-61.25,79.41,77,68,10.6,broken clouds
336,Half Moon Bay,US,37.4636,-122.4286,53.98,80,1,4.61,clear sky
337,Vao,NC,-22.6667,167.4833,72.86,62,11,7.23,few clouds
338,Hay River,CA,60.8156,-115.7999,26.58,86,90,10.36,light snow
339,Te Anau,NZ,-45.4167,167.7167,66.29,52,89,4.27,overcast clouds
340,Gbarnga,LR,6.9956,-9.4722,70.54,99,53,1.57,broken clouds
341,Nabire,ID,-3.3667,135.4833,85.73,68,78,5.88,broken clouds
342,Arona,ES,28.0996,-16.681,61.32,59,20,24.16,few clouds
343,Noyabrsk,RU,63.1994,75.4507,33.15,84,100,17.43,overcast clouds
